reasonCode,recordId,counterparty,amountPaise,rationale,candidateIds
"DUPLICATE","rec:bank-utr:UTR1001DUP","Brightway Traders","3045408","""content-duplicate of rec:bank-utr:UTR1001 (same source/amount/date/counterparty)""","rec:bank-utr:UTR1001"
"DUPLICATE","rec:bank-utr:UTR1002DUP","Zenith Foods","2296624","""content-duplicate of rec:bank-utr:UTR1002 (same source/amount/date/counterparty)""","rec:bank-utr:UTR1002"
"DUPLICATE","rec:bank-utr:UTRDUPB","Cloudline Tech Pvt Ltd","500000","""content-duplicate of rec:bank-utr:UTRDUP (same source/amount/date/counterparty)""","rec:bank-utr:UTRDUP"
"AMOUNT_MISMATCH","rec:razorpay-gateway:pay_14","Cloudline Tech Pvt Ltd","1128904","""records share a key but amounts differ beyond ₹0.50 tolerance""","rec:bank-utr:UTR1014|rec:razorpay-gateway:pay_15|rec:bank-utr:UTR1015|rec:razorpay-gateway:payPART|rec:bank-utr:UTRPART"
"AMOUNT_MISMATCH","rec:bank-utr:UTR1014","Cloudline Tech Pvt Ltd","1128704","""records share a key but amounts differ beyond ₹0.50 tolerance""","rec:razorpay-gateway:pay_14|rec:razorpay-gateway:pay_15|rec:bank-utr:UTR1015|rec:razorpay-gateway:payPART|rec:bank-utr:UTRPART"
"AMOUNT_MISMATCH","rec:razorpay-gateway:pay_15","Fresco Bakers","832585","""records share a key but amounts differ beyond ₹0.50 tolerance""","rec:razorpay-gateway:pay_14|rec:bank-utr:UTR1014|rec:bank-utr:UTR1015|rec:razorpay-gateway:payPART|rec:bank-utr:UTRPART"
"AMOUNT_MISMATCH","rec:bank-utr:UTR1015","Fresco Bakers","832385","""records share a key but amounts differ beyond ₹0.50 tolerance""","rec:razorpay-gateway:pay_14|rec:bank-utr:UTR1014|rec:razorpay-gateway:pay_15|rec:razorpay-gateway:payPART|rec:bank-utr:UTRPART"
"AMOUNT_MISMATCH","rec:razorpay-gateway:payPART","Northwind Exports","1000000","""records share a key but amounts differ beyond ₹0.50 tolerance""","rec:razorpay-gateway:pay_14|rec:bank-utr:UTR1014|rec:razorpay-gateway:pay_15|rec:bank-utr:UTR1015|rec:bank-utr:UTRPART"
"AMOUNT_MISMATCH","rec:bank-utr:UTRPART","Northwind Exports","600000","""records share a key but amounts differ beyond ₹0.50 tolerance""","rec:razorpay-gateway:pay_14|rec:bank-utr:UTR1014|rec:razorpay-gateway:pay_15|rec:bank-utr:UTR1015|rec:razorpay-gateway:payPART"
"PARTIAL_FLAP","rec:bank-utr:UTR9001","GreenLeaf Organics","4340826","""heuristic:candidate(rec:razorpay-gateway:pay_9) amountDiff=0 dateOk=true cpyOk=true refOk=false hint=residual""",""
"LOW_CONFIDENCE","rec:bank-utr:UTR9002","Unrelated Ventures","4340806","""heuristic:candidate(rec:razorpay-gateway:pay_9) amountDiff=20 dateOk=true cpyOk=false refOk=false hint=residual""",""
"NO_KEY","rec:bank-utr:UTR8001","Acme Retail Pvt Ltd","12345","""no usable reference key and no near-amount candidate (orphan)""",""
"NO_KEY","rec:bank-utr:UTR8002","Brightway Traders","67890","""no usable reference key and no near-amount candidate (orphan)""",""
"NO_KEY","rec:bank-utr:UTR8003","Zenith Foods","111222","""no usable reference key and no near-amount candidate (orphan)""",""
"NO_KEY","rec:bank-utr:UTR8004","Northwind Exports","345678","""no usable reference key and no near-amount candidate (orphan)""",""
